Date	Price	Open	High	Low	Vol.	Change %
"Sep 12, 2016"	0.01659	0.0179	0.0182	0.0162	1.14M	-0.07
"Sep 11, 2016"	0.0179	0.01963	0.01993	0.0167	1.36M	-0.09
"Sep 10, 2016"	0.01963	0.01984	0.0202	0.0191	680.56	-0.01
"Sep 09, 2016"	0.01984	0.02016	0.02192	0.019	1.07M	-0.02
"Sep 08, 2016"	0.02016	0.01917	0.02095	0.01821	1.39M	0.05
"Sep 07, 2016"	0.01917	0.02037	0.02114	0.01801	1.62M	-0.06
"Sep 06, 2016"	0.02037	0.0225	0.02371	0.01956	1.90M	-0.09
"Sep 05, 2016"	0.0225	0.0226	0.0236	0.0206	1.71M	0.00
"Sep 04, 2016"	0.0226	0.0181	0.02291	0.0164	2.56M	0.25
"Sep 03, 2016"	0.0181	0.01727	0.0265	0.0171	4.91M	0.05
"Sep 02, 2016"	0.01727	0.0142	0.0185	0.01364	2.78M	0.22
"Sep 01, 2016"	0.0142	0.01469	0.01542	0.0135	1.42M	-0.03
"Aug 31, 2016"	0.01469	0.01472	0.01544	0.01256	2.34M	0.00
"Aug 30, 2016"	0.01472	0.015	0.0159	0.0136	1.76M	-0.02
"Aug 29, 2016"	0.015	0.0162	0.01875	0.0131	4.94M	-0.07
"Aug 28, 2016"	0.0162	0.00859	0.01715	0.00859	6.10M	0.89
"Aug 27, 2016"	0.00859	0.007227	0.00896	0.007211	1.37M	0.19
"Aug 26, 2016"	0.007227	0.00716	0.0081	0.007	1.34M	0.01
"Aug 25, 2016"	0.00716	0.00775	0.007796	0.00635	1.69M	-0.08
"Aug 24, 2016"	0.00775	0.00815	0.00879	0.0074	1.40M	-0.05
"Aug 23, 2016"	0.00815	0.0073	0.00928	0.0065	4.54M	0.12
"Aug 22, 2016"	0.0073	0.00439	0.009384	0.0043	4.21M	0.66
"Aug 21, 2016"	0.00439	0.004231	0.004466	0.0041	297.97	0.04
"Aug 20, 2016"	0.004231	0.004058	0.004441	0.00393	722.23	0.04
"Aug 19, 2016"	0.004058	0.003829	0.00407	0.003779	131.25	0.06
"Aug 18, 2016"	0.003829	0.00399	0.00399	0.0037	178.44	-0.04
"Aug 17, 2016"	0.00399	0.003806	0.003991	0.00368	178.66	0.05
"Aug 16, 2016"	0.003806	0.003852	0.004	0.00365	325.47	-0.01
"Aug 15, 2016"	0.003852	0.00349	0.003853	0.00346	341.70	0.10
"Aug 14, 2016"	0.00349	0.00339	0.003686	0.00322	153.24	0.03
"Aug 13, 2016"	0.00339	0.003298	0.003448	0.003284	56.11	0.03
"Aug 12, 2016"	0.003298	0.003357	0.003387	0.003207	56.20	-0.02
"Aug 11, 2016"	0.003357	0.00339	0.003448	0.003192	60.12	-0.01
"Aug 10, 2016"	0.00339	0.003467	0.0035	0.003249	96.56	-0.02
"Aug 09, 2016"	0.003467	0.003225	0.003485	0.003192	114.88	0.08
"Aug 08, 2016"	0.003225	0.00316	0.00337	0.003129	102.40	0.02
"Aug 07, 2016"	0.00316	0.00322	0.003455	0.00305	119.76	-0.02
"Aug 06, 2016"	0.00322	0.003128	0.003425	0.003039	125.25	0.03
"Aug 05, 2016"	0.003128	0.003217	0.003239	0.00308	70.26	-0.03
"Aug 04, 2016"	0.003217	0.002776	0.003301	0.002767	253.18	0.16
"Aug 03, 2016"	0.002776	0.002735	0.002966	0.002626	102.32	0.02
"Aug 02, 2016"	0.002735	0.002801	0.002899	0.002621	184.16	-0.02
"Aug 01, 2016"	0.002801	0.002904	0.00295	0.002777	86.82	-0.04
"Jul 31, 2016"	0.002904	0.002944	0.002978	0.00283	70.77	-0.01
"Jul 30, 2016"	0.002944	0.002903	0.00295	0.00285	32.11	0.01
"Jul 29, 2016"	0.002903	0.002833	0.00297	0.002784	54.05	0.02
"Jul 28, 2016"	0.002833	0.002906	0.002974	0.002784	105.78	-0.03
"Jul 27, 2016"	0.002906	0.002751	0.00299	0.0027	133.80	0.06
"Jul 26, 2016"	0.002751	0.002838	0.00284	0.002613	134.71	-0.03
"Jul 25, 2016"	0.002838	0.002842	0.002859	0.002777	45.44	0.00
"Jul 24, 2016"	0.002842	0.002892	0.002954	0.00278	80.11	-0.02
"Jul 23, 2016"	0.002892	0.002834	0.00292	0.002756	61.24	0.02
"Jul 22, 2016"	0.002834	0.00259	0.00284	0.002585	94.57	0.09
"Jul 21, 2016"	0.00259	0.002649	0.00273	0.002551	74.65	-0.02
"Jul 20, 2016"	0.002649	0.002844	0.002875	0.00251	197.12	-0.07
"Jul 19, 2016"	0.002844	0.002898	0.002911	0.002739	98.72	-0.02
"Jul 18, 2016"	0.002898	0.002919	0.00298	0.002859	51.24	-0.01
"Jul 17, 2016"	0.002919	0.003001	0.00302	0.002876	80.94	-0.03
"Jul 16, 2016"	0.003001	0.003016	0.003051	0.002988	31.44	-0.01
"Jul 15, 2016"	0.003016	0.00304	0.00308	0.00291	88.93	-0.01
"Jul 14, 2016"	0.00304	0.00295	0.003081	0.002926	85.15	0.03
"Jul 13, 2016"	0.00295	0.00297	0.003006	0.002883	141.92	-0.01
"Jul 12, 2016"	0.00297	0.003057	0.003207	0.002903	162.12	-0.03
"Jul 11, 2016"	0.003057	0.002938	0.00312	0.002914	99.89	0.04
"Jul 10, 2016"	0.002938	0.002992	0.003005	0.002865	112.25	-0.02
"Jul 09, 2016"	0.002992	0.002946	0.00307	0.002858	158.19	0.02
"Jul 08, 2016"	0.002946	0.002967	0.003107	0.002846	208.26	-0.01
"Jul 07, 2016"	0.002967	0.002932	0.003292	0.002774	786.70	0.01
"Jul 06, 2016"	0.002932	0.002577	0.002935	0.002561	242.99	0.14
"Jul 05, 2016"	0.002577	0.002503	0.0026	0.00244	85.73	0.03
"Jul 04, 2016"	0.002503	0.002565	0.002688	0.00248	79.93	-0.02
"Jul 03, 2016"	0.002565	0.002475	0.002759	0.002475	165.03	0.04
"Jul 02, 2016"	0.002475	0.002475	0.00259	0.00242	109.53	0.00
"Jul 01, 2016"	0.002475	0.002363	0.00251	0.002339	86.45	0.05
"Jun 30, 2016"	0.002363	0.002422	0.002519	0.002267	136.21	-0.02
"Jun 29, 2016"	0.002422	0.002258	0.00259	0.002258	180.84	0.07
"Jun 28, 2016"	0.002258	0.002249	0.002319	0.0022	106.14	0.00
"Jun 27, 2016"	0.002249	0.002352	0.00239	0.00214	109.40	-0.04
"Jun 26, 2016"	0.002352	0.002309	0.002435	0.002307	46.62	0.02
"Jun 25, 2016"	0.002309	0.002369	0.002409	0.00222	94.33	-0.03
"Jun 24, 2016"	0.002369	0.002481	0.002589	0.002291	124.06	-0.05
"Jun 23, 2016"	0.002481	0.002541	0.002634	0.002403	116.93	-0.02
"Jun 22, 2016"	0.002541	0.002408	0.002674	0.002391	233.24	0.06
"Jun 21, 2016"	0.002408	0.0024	0.00264	0.002301	287.29	0.00
"Jun 20, 2016"	0.0024	0.002436	0.002597	0.002265	294.47	-0.01
"Jun 19, 2016"	0.002436	0.0027	0.002757	0.002377	323.95	-0.10
"Jun 18, 2016"	0.0027	0.002349	0.00315	0.002325	1.18M	0.15
"Jun 17, 2016"	0.002349	0.002005	0.0024	0.001994	356.12	0.17
"Jun 16, 2016"	0.002005	0.002111	0.00213	0.001926	201.98	-0.05
"Jun 15, 2016"	0.002111	0.002	0.002205	0.001956	221.87	0.06
"Jun 14, 2016"	0.002	0.00182	0.002059	0.001802	187.92	0.10
"Jun 13, 2016"	0.00182	0.001889	0.001991	0.001778	202.53	-0.04
"Jun 12, 2016"	0.001889	0.001937	0.001942	0.001761	315.88	-0.02
"Jun 11, 2016"	0.001937	0.001987	0.002023	0.0019	74.41	-0.03
"Jun 10, 2016"	0.001987	0.001936	0.00206	0.001874	233.99	0.03
"Jun 09, 2016"	0.001936	0.001704	0.002139	0.001704	410.50	0.14
"Jun 08, 2016"	0.001704	0.001706	0.001773	0.001687	70.66	0.00
"Jun 07, 2016"	0.001706	0.001715	0.001726	0.001653	76.71	-0.01
"Jun 06, 2016"	0.001715	0.001737	0.001795	0.00169	81.53	-0.01
"Jun 05, 2016"	0.001737	0.001714	0.001761	0.001666	82.35	0.01
"Jun 04, 2016"	0.001714	0.001659	0.00175	0.001653	88.28	0.03
"Jun 03, 2016"	0.001659	0.001731	0.00178	0.001652	71.65	-0.04
"Jun 02, 2016"	0.001731	0.001698	0.001758	0.001693	38.72	0.02
"Jun 01, 2016"	0.001698	0.001752	0.001789	0.001612	106.25	-0.03
"May 31, 2016"	0.001752	0.001676	0.001852	0.001657	153.89	0.05
"May 30, 2016"	0.001676	0.001709	0.00175	0.00164	69.94	-0.02
"May 29, 2016"	0.001709	0.001708	0.001841	0.001619	206.49	0.00
"May 28, 2016"	0.001708	0.001813	0.001848	0.001703	165.66	-0.06
"May 27, 2016"	0.001813	0.001901	0.00191	0.001725	165.81	-0.05
"May 26, 2016"	0.001901	0.001934	0.002046	0.00186	98.19	-0.02
"May 25, 2016"	0.001934	0.002021	0.002079	0.001924	113.45	-0.04
"May 24, 2016"	0.002021	0.002048	0.002233	0.002021	201.37	-0.01
"May 23, 2016"	0.002048	0.002118	0.002171	0.002028	128.04	-0.03
"May 22, 2016"	0.002118	0.002201	0.00228	0.002079	193.46	-0.04
"May 21, 2016"	0.002201	0.002153	0.002263	0.0021	110.23	0.02
"May 20, 2016"	0.002153	0.001939	0.00225	0.001939	299.53	0.11
"May 19, 2016"	0.001939	0.001864	0.001965	0.001804	156.84	0.04
"May 18, 2016"	0.001864	0.001793	0.00194	0.001742	230.26	0.04
"May 17, 2016"	0.001793	0.00181	0.00188	0.001693	135.57	-0.01
"May 16, 2016"	0.00181	0.001815	0.001864	0.00176	120.02	0.00
"May 15, 2016"	0.001815	0.00184	0.001883	0.00176	61.51	-0.01
"May 14, 2016"	0.00184	0.001861	0.001886	0.001802	27.72	-0.01
"May 13, 2016"	0.001861	0.001896	0.001939	0.001823	73.80	-0.02
"May 12, 2016"	0.001896	0.001901	0.001989	0.001871	93.45	0.00
"May 11, 2016"	0.001901	0.001831	0.00192	0.001818	55.60	0.04
"May 10, 2016"	0.001831	0.00181	0.00194	0.001759	151.10	0.01
"May 09, 2016"	0.00181	0.001844	0.0019	0.00175	104.88	-0.02
"May 08, 2016"	0.001844	0.001922	0.001959	0.001823	84.10	-0.04
"May 07, 2016"	0.001922	0.001901	0.001954	0.00181	120.06	0.01
"May 06, 2016"	0.001901	0.002029	0.002053	0.001875	79.43	-0.06
"May 05, 2016"	0.002029	0.002059	0.002068	0.001967	85.07	-0.01
"May 04, 2016"	0.002059	0.002066	0.00214	0.002013	96.86	0.00
"May 03, 2016"	0.002066	0.002182	0.002186	0.002016	105.55	-0.05
"May 02, 2016"	0.002182	0.002027	0.002273	0.00198	212.10	0.08
"May 01, 2016"	0.002027	0.002054	0.002095	0.001969	66.10	-0.01
"Apr 30, 2016"	0.002054	0.001956	0.002151	0.001941	128.06	0.05
"Apr 29, 2016"	0.001956	0.00202	0.002088	0.00192	105.55	-0.03
"Apr 28, 2016"	0.00202	0.002129	0.00218	0.001988	96.14	-0.05
"Apr 27, 2016"	0.002129	0.001905	0.002177	0.001847	308.51	0.12
"Apr 26, 2016"	0.001905	0.002073	0.002153	0.00176	354.16	-0.08
"Apr 25, 2016"	0.002073	0.002239	0.002287	0.00203	195.35	-0.07
"Apr 24, 2016"	0.002239	0.002293	0.00235	0.002178	103.10	-0.02
"Apr 23, 2016"	0.002293	0.002217	0.002348	0.00218	101.71	0.03
"Apr 22, 2016"	0.002217	0.002168	0.00226	0.002132	135.31	0.02
"Apr 21, 2016"	0.002168	0.002381	0.00242	0.002102	202.35	-0.09
"Apr 20, 2016"	0.002381	0.00259	0.002595	0.00225	303.74	-0.08
"Apr 19, 2016"	0.00259	0.002555	0.002699	0.002535	223.28	0.01
"Apr 18, 2016"	0.002555	0.00239	0.00262	0.002344	252.01	0.07
"Apr 17, 2016"	0.00239	0.002272	0.00257	0.002251	265.90	0.05
"Apr 16, 2016"	0.002272	0.002285	0.002329	0.002196	115.52	-0.01
"Apr 15, 2016"	0.002285	0.002373	0.002406	0.0022	349.74	-0.04
"Apr 14, 2016"	0.002373	0.002423	0.00251	0.002288	186.28	-0.02
"Apr 13, 2016"	0.002423	0.00218	0.00254	0.00216	401.59	0.11
"Apr 12, 2016"	0.00218	0.002389	0.002431	0.002	634.29	-0.09
"Apr 11, 2016"	0.002389	0.002585	0.002683	0.00231	271.08	-0.08
"Apr 10, 2016"	0.002585	0.002785	0.002812	0.00207	1.18M	-0.07
"Apr 09, 2016"	0.002785	0.003392	0.003392	0.002688	894.51	-0.18
"Apr 08, 2016"	0.003392	0.003618	0.003637	0.003228	223.13	-0.06
"Apr 07, 2016"	0.003618	0.003547	0.003714	0.003511	148.81	0.02
"Apr 06, 2016"	0.003547	0.003551	0.003719	0.003433	156.37	0.00
"Apr 05, 2016"	0.003551	0.003787	0.003788	0.0034	255.32	-0.06
"Apr 04, 2016"	0.003787	0.00369	0.0038	0.003546	177.72	0.03
"Apr 03, 2016"	0.00369	0.003729	0.003786	0.003504	161.93	-0.01
"Apr 02, 2016"	0.003729	0.003474	0.003741	0.003456	296.63	0.07
"Apr 01, 2016"	0.003474	0.003381	0.003563	0.00336	197.09	0.03
"Mar 31, 2016"	0.003381	0.003499	0.0035	0.003332	131.65	-0.03
"Mar 30, 2016"	0.003499	0.003568	0.00365	0.00335	209.82	-0.02
"Mar 29, 2016"	0.003568	0.00351	0.003691	0.003473	208.74	0.02
"Mar 28, 2016"	0.00351	0.003585	0.003699	0.003309	375.75	-0.02
"Mar 27, 2016"	0.003585	0.004047	0.004121	0.00321	594.11	-0.11
"Mar 26, 2016"	0.004047	0.003861	0.00415	0.003766	290.51	0.05
"Mar 25, 2016"	0.003861	0.003977	0.00422	0.00378	409.02	-0.03
"Mar 24, 2016"	0.003977	0.003477	0.004168	0.003335	715.77	0.14
"Mar 23, 2016"	0.003477	0.003258	0.0035	0.0032	303.80	0.07
"Mar 22, 2016"	0.003258	0.003549	0.00368	0.003211	390.64	-0.08
"Mar 21, 2016"	0.003549	0.003642	0.0038	0.003307	536.58	-0.03
"Mar 20, 2016"	0.003642	0.002973	0.003745	0.0029	667.52	0.23
"Mar 19, 2016"	0.002973	0.002804	0.003151	0.00274	205.68	0.06
"Mar 18, 2016"	0.002804	0.003231	0.003234	0.002654	360.80	-0.13
"Mar 17, 2016"	0.003231	0.002755	0.003231	0.002488	360.70	0.17
"Mar 16, 2016"	0.002755	0.002763	0.002879	0.002697	139.30	0.00
"Mar 15, 2016"	0.002763	0.00271	0.002841	0.00261	168.64	0.02
"Mar 14, 2016"	0.00271	0.00298	0.00307	0.002673	165.09	-0.09
"Mar 13, 2016"	0.00298	0.0028	0.00307	0.002671	196.42	0.06
"Mar 12, 2016"	0.0028	0.00263	0.002956	0.0025	270.06	0.06
"Mar 11, 2016"	0.00263	0.002586	0.00274	0.002501	110.58	0.02
"Mar 10, 2016"	0.002586	0.002955	0.003181	0.002411	346.22	-0.12
"Mar 09, 2016"	0.002955	0.002823	0.003217	0.002338	681.56	0.05
"Mar 08, 2016"	0.002823	0.002483	0.00289	0.00242	291.99	0.14
"Mar 07, 2016"	0.002483	0.003075	0.003093	0.002331	429.11	-0.19
"Mar 06, 2016"	0.003075	0.00298	0.0031	0.002553	752.23	0.03
"Mar 05, 2016"	0.00298	0.002858	0.003488	0.002557	912.70	0.04
"Mar 04, 2016"	0.002858	0.002565	0.002978	0.002428	630.12	0.11
"Mar 03, 2016"	0.002565	0.001944	0.002745	0.001942	713.06	0.32
"Mar 02, 2016"	0.001944	0.00195	0.002	0.001861	144.03	0.00
"Mar 01, 2016"	0.00195	0.001986	0.002038	0.001861	218.58	-0.02
"Feb 29, 2016"	0.001986	0.00201	0.002049	0.00191	141.87	-0.01
"Feb 28, 2016"	0.00201	0.001901	0.002049	0.00188	150.89	0.06
"Feb 27, 2016"	0.001901	0.0019	0.001993	0.001875	103.25	0.00
"Feb 26, 2016"	0.0019	0.001895	0.00197	0.001852	78.43	0.00
"Feb 25, 2016"	0.001895	0.001878	0.002109	0.001824	270.93	0.01
"Feb 24, 2016"	0.001878	0.00179	0.00189	0.001771	133.63	0.05
"Feb 23, 2016"	0.00179	0.001791	0.00181	0.00172	98.24	0.00
"Feb 22, 2016"	0.001791	0.001761	0.0019	0.001711	150.33	0.02
"Feb 21, 2016"	0.001761	0.00188	0.001897	0.001651	210.53	-0.06
"Feb 20, 2016"	0.00188	0.002012	0.00212	0.001841	335.22	-0.07
"Feb 19, 2016"	0.002012	0.001843	0.002055	0.001742	231.79	0.09
"Feb 18, 2016"	0.001843	0.00174	0.001885	0.00164	266.01	0.06
"Feb 17, 2016"	0.00174	0.002323	0.002357	0.00166	723.28	-0.25
"Feb 16, 2016"	0.002323	0.001937	0.00246	0.001915	826.93	0.20
"Feb 15, 2016"	0.001937	0.0021	0.002176	0.001836	592.46	-0.08
"Feb 14, 2016"	0.002103	0.001991	0.00213	0.001687	644.31	0.06
"Feb 13, 2016"	0.001991	0.001556	0.002339	0.001531	1.24M	0.28
"Feb 12, 2016"	0.001556	0.00146	0.001621	0.001337	255.54	0.07
"Feb 11, 2016"	0.00146	0.00125	0.00158	0.001245	356.18	0.17
"Feb 10, 2016"	0.00125	0.001248	0.00128	0.0012	100.40	0.00
"Feb 09, 2016"	0.001248	0.00129	0.0013	0.001237	70.84	-0.03
"Feb 08, 2016"	0.00129	0.001268	0.00133	0.001268	51.10	0.02
"Feb 07, 2016"	0.001268	0.001306	0.001337	0.001253	96.29	-0.03
"Feb 06, 2016"	0.001306	0.001275	0.001313	0.00125	60.79	0.02
"Feb 05, 2016"	0.001275	0.001302	0.001336	0.001239	90.00	-0.02
"Feb 04, 2016"	0.001302	0.001345	0.00135	0.001301	45.12	-0.03
"Feb 03, 2016"	0.001345	0.001321	0.001345	0.001301	36.35	0.02
"Feb 02, 2016"	0.001321	0.001331	0.00135	0.0013	23.15	-0.01
"Feb 01, 2016"	0.001331	0.00131	0.001364	0.001292	62.73	0.02
"Jan 31, 2016"	0.00131	0.001341	0.001394	0.00131	78.91	-0.02
"Jan 30, 2016"	0.001341	0.001352	0.00139	0.00128	64.12	-0.01
"Jan 29, 2016"	0.001352	0.001481	0.001508	0.001267	129.18	-0.09
"Jan 28, 2016"	0.001481	0.001536	0.001599	0.001475	69.41	-0.04
"Jan 27, 2016"	0.001536	0.001504	0.0016	0.001429	182.37	0.02
"Jan 26, 2016"	0.001504	0.001487	0.00165	0.001433	120.86	0.01
"Jan 25, 2016"	0.001487	0.00155	0.00156	0.001421	111.29	-0.04
"Jan 24, 2016"	0.00155	0.001627	0.00167	0.00145	212.65	-0.05
"Jan 23, 2016"	0.001627	0.001408	0.001677	0.00129	290.99	0.16
"Jan 22, 2016"	0.001408	0.00136	0.00143	0.001284	113.19	0.04
"Jan 21, 2016"	0.00136	0.001278	0.0014	0.001234	103.18	0.06
"Jan 20, 2016"	0.001278	0.001424	0.001445	0.001257	172.33	-0.08
"Jan 19, 2016"	0.00139	0.001291	0.001445	0.001266	166.53	0.08
"Jan 18, 2016"	0.001291	0.001126	0.00135	0.001112	123.76	0.15
"Jan 17, 2016"	0.001126	0.001291	0.001334	0.001112	108.28	-0.13
"Jan 16, 2016"	0.001291	0.001175	0.001298	0.00116	67.72	0.10
"Jan 15, 2016"	0.001175	0.001142	0.001182	0.001094	85.59	0.03
"Jan 14, 2016"	0.001142	0.001124	0.001158	0.001083	61.43	0.02
"Jan 13, 2016"	0.001124	0.001128	0.001141	0.001057	72.59	0.00
"Jan 12, 2016"	0.001128	0.001085	0.001146	0.001052	81.82	0.04
"Jan 11, 2016"	0.001085	0.001095	0.001125	0.001069	35.82	-0.01
"Jan 10, 2016"	0.001095	0.0011	0.001187	0.001068	52.39	0.00
"Jan 09, 2016"	0.0011	0.001098	0.001141	0.001061	51.60	0.00
"Jan 08, 2016"	0.001098	0.001074	0.001113	0.001061	28.95	0.02
"Jan 07, 2016"	0.001074	0.001183	0.001183	0.00105	82.91	-0.09
"Jan 06, 2016"	0.001183	0.001166	0.00121	0.001138	29.15	0.01
"Jan 05, 2016"	0.001166	0.001159	0.001225	0.00114	49.73	0.01
"Jan 04, 2016"	0.001159	0.001146	0.00121	0.00113	41.24	0.01
"Jan 03, 2016"	0.001146	0.001211	0.00125	0.00113	70.45	-0.05
"Jan 02, 2016"	0.001211	0.001159	0.001312	0.001132	103.73	0.04
"Jan 01, 2016"	0.001159	0.001051	0.0013	0.001049	154.95	0.10
"Dec 31, 2015"	0.001051	0.001031	0.00109	0.001028	42.61	0.02
"Dec 30, 2015"	0.001031	0.001057	0.0011	0.001022	64.99	-0.02
"Dec 29, 2015"	0.001057	0.001067	0.00107	0.001046	20.54	-0.01
"Dec 28, 2015"	0.001067	0.001058	0.0011	0.001055	26.35	0.01
"Dec 27, 2015"	0.001058	0.001077	0.001143	0.001058	28.94	-0.02
"Dec 26, 2015"	0.001077	0.00107	0.001101	0.001058	27.73	0.01
"Dec 25, 2015"	0.00107	0.001057	0.001089	0.001055	14.36	0.01
"Dec 24, 2015"	0.001057	0.001073	0.001089	0.00102	35.94	-0.01
"Dec 23, 2015"	0.001073	0.001094	0.001125	0.001045	57.54	-0.02
"Dec 22, 2015"	0.001094	0.001141	0.001163	0.00104	40.09	-0.04
"Dec 21, 2015"	0.001141	0.001157	0.001192	0.001024	95.05	-0.01
"Dec 20, 2015"	0.001157	0.001052	0.00119	0.001016	67.13	0.10
"Dec 19, 2015"	0.001052	0.001071	0.001072	0.001011	40.37	-0.02
"Dec 18, 2015"	0.001071	0.001092	0.00113	0.00106	27.46	-0.02
"Dec 17, 2015"	0.001092	0.001138	0.001172	0.00108	28.29	-0.04
"Dec 16, 2015"	0.001138	0.001179	0.001197	0.00113	38.49	-0.03
"Dec 15, 2015"	0.001179	0.001222	0.001222	0.001138	60.02	-0.04
"Dec 14, 2015"	0.001222	0.001054	0.001264	0.00105	172.33	0.16
"Dec 13, 2015"	0.001054	0.00105	0.001098	0.001013	41.89	0.00
"Dec 12, 2015"	0.00105	0.001014	0.00105	0.001	27.47	0.04
"Dec 11, 2015"	0.001014	0.001052	0.00108	0.000971	32.47	-0.04
"Dec 10, 2015"	0.001052	0.001081	0.00109	0.000974	41.41	-0.03
"Dec 09, 2015"	0.001081	0.001056	0.001112	0.001006	69.22	0.02
"Dec 08, 2015"	0.001056	0.001067	0.001124	0.00097	77.29	-0.01
"Dec 07, 2015"	0.001067	0.001125	0.00116	0.001034	51.55	-0.05
"Dec 06, 2015"	0.001125	0.001128	0.001212	0.00108	87.91	0.00
"Dec 05, 2015"	0.001128	0.00102	0.001181	0.001011	114.53	0.11
"Dec 04, 2015"	0.00102	0.00101	0.00108	0.001006	49.23	0.01
"Dec 03, 2015"	0.00101	0.00103	0.00109	0.001005	41.52	-0.02
"Dec 02, 2015"	0.00103	0.001045	0.001097	0.001014	36.22	-0.01
"Dec 01, 2015"	0.001045	0.001043	0.001122	0.001	41.82	0.00
"Nov 30, 2015"	0.001043	0.001087	0.001159	0.001001	59.53	-0.04
"Nov 29, 2015"	0.001087	0.001095	0.00114	0.001056	25.26	-0.01
"Nov 28, 2015"	0.001095	0.001072	0.001107	0.001058	25.44	0.02
"Nov 27, 2015"	0.001072	0.001135	0.001179	0.001056	65.62	-0.06
"Nov 26, 2015"	0.001135	0.001183	0.001218	0.001096	60.88	-0.04
"Nov 25, 2015"	0.001183	0.001217	0.001239	0.001131	40.37	-0.03
"Nov 24, 2015"	0.001217	0.001199	0.001239	0.001165	24.61	0.02
